otu_id	JZ017	JZ018	JZ019	JZ020	JZ021	JZ022	JZ023	JZ024	JZ025	JZ026	JZ027	JZ028	JZ029	JZ030	JZ031	JZ032	JZ033	JZ034	JZ035	JZ036	JZ037	JZ038	JZ039	JZ040	JZ041	JZ042	JZ043	JZ044	JZ045	JZ046	JZ047	JZ048	JZ049	JZ050	JZ051	JZ052	JZ053	JZ054	JZ055	JZ056	JZ057	JZ058	JZ059	JZ060	JZ061	JZ062	JZ063	JZ064	JZ065	JZ066	JZ067	JZ068	JZ069	JZ070	JZ071	JZ072	JZ073	JZ074	JZ075	JZ076	JZ077	JZ078	JZ079	JZ080	JZ081	JZ082	JZ083	JZ084	JZ085	JZ086	JZ087	JZ088	JZ089	JZ090	JZ091	JZ092	JZ093	JZ094	JZ095	JZ096	JZ097	JZ098	JZ099	JZ100	JZ101	JZ102	JZ103	JZ104	JZ105	JZ106	JZ107	JZ108	JZ109	JZ110	JZ111	JZ112	JZ113	JZ114	JZ115	JZ116	JZ117
OTU22	2	6	10	16	2	110	9897	1050	7	2136	9	35	1	3	4	0	2	1	1	5	1	8	23	113	4	231	55	9	23	65	0	2	2	0	2	1	2	17	18	18	11	6	15	14	17	4	3	15	7	4	2	5	609	14	10	2	9	6	4	6	4	321	16	12	749	355	216	4166	8709	3751	1625	830	965	145	15	6	9	341	16	4	92	5	282	233	1635	408	622	2003	434	1391	910	4	2	5	352	2	9	775	554	6	6
OTU23	2	4	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
OTU24	0	0	0	0	12	18	2	2	7	2	8	8	2	149	94	146	15879	6036	32180	3	7	7	22	3	13	4	9	8	16	3	15	6	6	8	2	5	3	7	3	8	7	4	3	5	7	7	3	5	6	2	1	1	5	9	5	2	2	6	5	0	8	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU25	1814	4	3	8	5	3	10	13	14	3	10	10	139	6	4	14	3	2	10	13	6	17	8	3	19	7	10	11	17	16	27	1567	302	1442	19	8012	60	17	4	0	5	2	7	5	2	1	7	6	5	5107	32	13	63	11	630	1556	79	1577	727	1267	241	8	6	32	0	12	3	0	5	2	0	5	0	1	0	0	0	2	1	0	1	0	3	0	2	0	0	0	0	0	158	0	1	1	0	1	0	10	0	0	0
OTU26	0	0	0	6	18	2	0	0	2961	0	0	1	0	0	3	0	0	1	2	0	218	2	1196	2	1809	0	1	0	97	0	2	1	1	0	1	0	0	0	1	1	1	0	0	0	7	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	4	2	0	1381	2408	6	315	1864	3416	1	0	2	4	1	0	0	1	0	0	0	0	14	2	2	0	0	1	1	0	0	0
OTU27	0	0	0	3	3	1	1	3	6	1	2	3	0	0	4	3	3	5	7	9	955	182	7412	20	4381	89	1406	23	15440	876	3096	1	28	2	1	4	1	1	1	2	6	1	0	0	1	1	3	1	1	1	0	3	0	2	2	7	0	0	2	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
OTU28	0	0	6	428	5732	830	3	2	3158	1	3	2	0	2	7	50	0	1	7	2	481	1	1426	0	155	0	216	0	434	0	756	2	2	0	1	0	0	2	0	0	1	7	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	0	1	3	0	1	0	0	2	2	1	3	1	0	4	1	0	1679	1139	1154	1297	858	1958	1	5	0	1	0	0	1	3	0	1	0	0	3300	40	64	0	49	3	1	0	1	3
OTU29	0	0	1	8	16	9	4	6	8	15	15	9	4	13470	16457	13081	11114	14882	15321	4	6	9	18	7	18	7	8	8	8	7	14	4	5	9	4	7	6	9	12	10	12	5	5	8	6	2	12	0	4	5	2	2	6	9	8	12	6	4	9	6	3	3	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU30	1	0	0	0	15236	17	19	24	26	33	27	32	7	11	17	3	12	13	18	5	2	14	8	9	2	13	17	14	15	23	1694	27	33	7	13	34	16	18	2	5	17	3	0	3	2	0	17	5	1	13	1	12	2	3	3	61	2	3	14	9	3	6	23	30	28	17	27	8	7	10	12	4	15	3604	37	60	17	21	160	31	0	3	11	19	1	13	16	30	30	49	18	2750	592	4793	25	4190	800	3	7	5	48
OTU31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	8	17	28	9	9	5	6	12	7	3	7	7	12	6	1	4	4	1	7	6	6	10	8	6	363	31	7	43	70	22	68	33597	0	10	1
