otu_id	kingdom	phylum	class	order	family	genus	species	strain
OTU1729	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU1732	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium sp.	bradyrhizobium sp. irbg 228
OTU1736	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__burkholderiaceae	g__burkholderia	s__burkholderia xenovorans	burkholderia xenovorans
OTU1737	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__rhodoblastus	s__rhodoblastus acidophilus	rhodoblastus acidophilus
OTU1738	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU1740	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU1744	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__phyllobacteriaceae	g__mesorhizobium	s__mesorhizobium septentrionale	mesorhizobium septentrionale
OTU1745	k__bacteria	p__firmicutes	c__clostridia	o__clostridiales	f__peptococcaceae	g__desulfosporosinus	s__desulfosporosinus orientis	desulfosporosinus orientis dsm 765
OTU1747	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU1748	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU1749	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus sp.	paenibacillus sp. jt91
OTU1750	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU1752	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus sabinae	paenibacillus sabinae
OTU1753	k__bacteria	p__proteobacteria	c__gammaproteobacteria	o__pseudomonadales	f__pseudomonadaceae	g__azotobacter	s__azotobacter chroococcum	azotobacter chroococcum
OTU1754	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU1756	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__methylocystaceae	g__methylosinus	s__methylosinus sp.	methylosinus sp. lw8
OTU1757	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus sp.	paenibacillus sp. jt91
OTU1758	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus fujiensis	paenibacillus fujiensis
OTU1759	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__rhodocyclales	f__rhodocyclaceae	g__dechloromonas	s__dechloromonas sp.	dechloromonas sp. siul
OTU1760	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter sp.	geobacter sp. m18
OTU1761	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus massiliensis	paenibacillus massiliensis
OTU1762	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__skermanella	s__skermanella aerolata	skermanella aerolata
OTU1763	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU1764	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter bemidjiensis	geobacter bemidjiensis bem
OTU1767	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__burkholderiales	g__leptothrix	s__leptothrix cholodnii	leptothrix cholodnii sp_6
OTU1768	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU1769	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter sp.	geobacter sp. m18
OTU1770	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__acetobacteraceae	g__gluconacetobacter	s__gluconacetobacter diazotrophicus	gluconacetobacter diazotrophicus pa1 5
OTU1772	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU1773	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus graminis	paenibacillus graminis
OTU1774	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter uraniireducens	geobacter uraniireducens rf4
OTU1776	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__pelobacteraceae	g__pelobacter	s__pelobacter propionicus	pelobacter propionicus dsm 2379
OTU1777	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__phyllobacteriaceae	g__mesorhizobium	s__mesorhizobium alhagi	mesorhizobium alhagi
OTU1778	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU1779	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus sp.	paenibacillus sp. as2(2010)
OTU1780	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus graminis	paenibacillus graminis
OTU1781	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium sp.	bradyrhizobium sp. irbg 230
OTU1782	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__skermanella	s__skermanella aerolata	skermanella aerolata
