otu_id	kingdom	phylum	class	order	family	genus	species	strain
OTU6839	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter uraniireducens	geobacter uraniireducens rf4
OTU6840	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus sp.	paenibacillus sp. gj11
OTU6841	k__bacteria	p__proteobacteria	c__gammaproteobacteria	o__pseudomonadales	f__pseudomonadaceae	g__azotobacter	s__azotobacter chroococcum	azotobacter chroococcum
OTU6844	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__alcaligenaceae	g__azohydromonas	s__azohydromonas lata	azohydromonas lata
OTU6845	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__agrobacterium	s__agrobacterium tumefaciens	agrobacterium tumefaciens
OTU6846	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium sp.	bradyrhizobium sp. irbg 230
OTU6847	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium sp.	bradyrhizobium sp. irbg 230
OTU6848	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter lovleyi	geobacter lovleyi sz
OTU6849	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus fujiensis	paenibacillus fujiensis
OTU6850	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU6851	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU6852	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU6853	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter sp.	geobacter sp. m18
OTU6854	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus terrae	paenibacillus terrae hpl_003
OTU6855	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__rhizobium	s__rhizobium leguminosarum	rhizobium leguminosarum
OTU6856	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus abekawaensis	paenibacillus abekawaensis
OTU6857	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU6858	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__methylobacteriaceae	g__methylobacterium	s__methylobacterium sp.	methylobacterium sp. 4_46
OTU6859	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__burkholderiales	g__rubrivivax	s__rubrivivax benzoatilyticus	rubrivivax benzoatilyticus ja2
OTU6860	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter sp.	geobacter sp. m18
OTU6861	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__comamonadaceae	g__polaromonas	s__polaromonas naphthalenivorans	polaromonas naphthalenivorans cj2
OTU6862	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__rhizobium	s__rhizobium leguminosarum	rhizobium leguminosarum
OTU6863	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__burkholderiales	g__leptothrix	s__leptothrix cholodnii	leptothrix cholodnii sp_6
OTU6864	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU6865	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter bemidjiensis	geobacter bemidjiensis bem
OTU6866	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__methylocystaceae	g__methylosinus	s__methylosinus sp.	methylosinus sp. lw8
OTU6867	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__rhizobium	s__rhizobium leguminosarum	rhizobium leguminosarum
OTU6868	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU6869	k__bacteria	p__proteobacteria	c__gammaproteobacteria	o__chromatiales	f__ectothiorhodospiraceae	g__ectothiorhodospira	s__ectothiorhodospira shaposhnikovii	ectothiorhodospira shaposhnikovii
OTU6870	k__bacteria	p__firmicutes	c__clostridia	o__clostridiales	f__clostridiaceae	g__clostridium	s__clostridium sp.	clostridium sp. mk31
OTU6871	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU6872	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter bemidjiensis	geobacter bemidjiensis bem
OTU6873	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU6874	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__comamonadaceae	g__polaromonas	s__polaromonas naphthalenivorans	polaromonas naphthalenivorans cj2
OTU6875	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter uraniireducens	geobacter uraniireducens rf4
OTU6876	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__azospirillum	s__azospirillum sp.	azospirillum sp. tsh78
OTU6877	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus polymyxa	paenibacillus polymyxa
OTU6878	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__azospirillum	s__azospirillum brasilense	azospirillum brasilense
OTU6880	k__bacteria	p__proteobacteria	c__gammaproteobacteria	o__pseudomonadales	f__pseudomonadaceae	g__azotobacter	s__azotobacter vinelandii	azotobacter vinelandii ca
OTU6881	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__azospirillum	s__azospirillum brasilense	azospirillum brasilense
OTU6882	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter sp.	geobacter sp. m18
OTU6883	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium sp.	bradyrhizobium sp. irbg 2
OTU6885	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter sp.	geobacter sp. m18
OTU6886	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium sp.	bradyrhizobium sp. stm3074
OTU6887	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter bemidjiensis	geobacter bemidjiensis bem
OTU6888	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus sp.	paenibacillus sp. jt91
OTU6889	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__alcaligenaceae	g__azohydromonas	s__azohydromonas lata	azohydromonas lata
OTU6890	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter bemidjiensis	geobacter bemidjiensis bem
OTU6891	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__rhizobium	s__rhizobium leguminosarum	rhizobium leguminosarum
OTU6892	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__rhodopseudomonas	s__rhodopseudomonas palustris	rhodopseudomonas palustris haa2
OTU6893	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__comamonadaceae	g__polaromonas	s__polaromonas naphthalenivorans	polaromonas naphthalenivorans cj2
OTU6894	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU6895	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus graminis	paenibacillus graminis
OTU6896	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium sp.	bradyrhizobium sp. sr106
OTU6897	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU6898	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU6902	k__bacteria	p__proteobacteria	c__gammaproteobacteria	o__pseudomonadales	f__pseudomonadaceae	g__pseudomonas	s__pseudomonas sp.	pseudomonas sp. ippw_2
OTU6903	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__agrobacterium	s__agrobacterium tumefaciens	agrobacterium tumefaciens
OTU6904	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter daltonii	geobacter daltonii frc_32
OTU6906	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__rhizobium	s__rhizobium leguminosarum	rhizobium leguminosarum
OTU6907	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__rhizobium	s__rhizobium leguminosarum	rhizobium leguminosarum
OTU6908	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__azospirillum	s__azospirillum brasilense	azospirillum brasilense
OTU6909	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter sp.	geobacter sp. m21
OTU6912	k__bacteria	p__proteobacteria	c__gammaproteobacteria	o__pseudomonadales	f__pseudomonadaceae	g__azotobacter	s__azotobacter vinelandii	azotobacter vinelandii ca
OTU6914	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus terrae	paenibacillus terrae hpl_003
OTU6916	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter uraniireducens	geobacter uraniireducens rf4
OTU6917	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU6919	k__bacteria	p__proteobacteria	c__gammaproteobacteria	o__pseudomonadales	f__pseudomonadaceae	g__azotobacter	s__azotobacter vinelandii	azotobacter vinelandii ca
OTU6921	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU6922	k__bacteria	p__firmicutes	c__clostridia	o__clostridiales	f__clostridiaceae	g__clostridium	s__clostridium autoethanogenum	clostridium autoethanogenum dsm 10061
OTU6924	k__bacteria	p__firmicutes	c__negativicutes	o__selenomonadales	f__veillonellaceae	g__selenomonas	s__selenomonas sputigena	selenomonas sputigena atcc 35185
OTU6926	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus wynnii	paenibacillus wynnii
OTU6929	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__acetobacteraceae	g__gluconacetobacter	s__gluconacetobacter diazotrophicus	gluconacetobacter diazotrophicus pa1 5
OTU6930	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__burkholderiales	g__ideonella	s__ideonella dechloratans	ideonella dechloratans
OTU6932	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__magnetospirillum	s__magnetospirillum gryphiswaldense	magnetospirillum gryphiswaldense msr_1 v2
OTU6933	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter sp.	geobacter sp. m18
OTU6934	k__bacteria	p__firmicutes	c__clostridia	o__clostridiales	f__clostridiaceae	g__clostridium	s__clostridium beijerinckii	clostridium beijerinckii atcc 35702
OTU6936	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter sp.	geobacter sp. m21
OTU6937	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU6938	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus polymyxa	paenibacillus polymyxa
OTU6939	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus sp.	paenibacillus sp. as2(2010)
OTU6942	k__bacteria	p__verrucomicrobia	c__opitutae	o__opitutales	f__opitutaceae	g__diplosphaera	s__diplosphaera colitermitum	diplosphaera colitermitum tav2
OTU6944	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__azospirillum	s__azospirillum brasilense	azospirillum brasilense
OTU6945	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__alcaligenaceae	g__azohydromonas	s__azohydromonas australica	azohydromonas australica
OTU6946	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU6947	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter sp.	geobacter sp. m18
OTU6948	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus polymyxa	paenibacillus polymyxa
OTU6949	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus polymyxa	paenibacillus polymyxa
OTU6950	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU6951	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter uraniireducens	geobacter uraniireducens rf4
OTU6952	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__rhizobium	s__rhizobium leguminosarum	rhizobium leguminosarum
OTU6953	k__bacteria	p__actinobacteria	c__actinobacteria	o__micrococcales	f__micrococcaceae	g__arthrobacter	s__arthrobacter sp.	arthrobacter sp. ccbau 10897
OTU6955	k__bacteria	p__firmicutes	c__clostridia	o__clostridiales	f__peptococcaceae	g__desulfosporosinus	s__desulfosporosinus sp.	desulfosporosinus sp. ot
OTU6956	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfovibrionales	f__desulfovibrionaceae	g__desulfovibrio	s__desulfovibrio desulfuricans	desulfovibrio desulfuricans nd132
OTU6957	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__azospirillum	s__azospirillum brasilense	azospirillum brasilense
OTU6959	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter bemidjiensis	geobacter bemidjiensis bem
OTU6960	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU6961	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__rhizobium	s__rhizobium leguminosarum	rhizobium leguminosarum
OTU6962	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__rhizobium	s__rhizobium leguminosarum	rhizobium leguminosarum
OTU6963	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus polymyxa	paenibacillus polymyxa
OTU6964	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter sp.	geobacter sp. m21
OTU6965	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__azospirillum	s__azospirillum brasilense	azospirillum brasilense
OTU6966	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU6967	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__rhizobium	s__rhizobium leguminosarum	rhizobium leguminosarum
OTU6968	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter bemidjiensis	geobacter bemidjiensis bem
OTU6971	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU6972	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__rhizobium	s__rhizobium leguminosarum	rhizobium leguminosarum
OTU6974	k__bacteria	p__proteobacteria	c__gammaproteobacteria	o__pseudomonadales	f__pseudomonadaceae	g__azotobacter	s__azotobacter vinelandii	azotobacter vinelandii ca
OTU6977	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodobacterales	f__rhodobacteraceae	g__rhodovulum	s__rhodovulum strictum	rhodovulum strictum
OTU6979	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus graminis	paenibacillus graminis
OTU6982	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter sp.	geobacter sp. m18
OTU6983	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__skermanella	s__skermanella aerolata	skermanella aerolata
OTU6984	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__azospirillum	s__azospirillum sp.	azospirillum sp. tsh81w
OTU6986	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__nitrosomonadales	f__nitrosomonadaceae	g__nitrosomonas	s__nitrosomonas sp.	
OTU6988	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__burkholderiales	g__rubrivivax	s__rubrivivax benzoatilyticus	rubrivivax benzoatilyticus ja2
OTU6989	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU6990	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__rhizobium	s__rhizobium leguminosarum	rhizobium leguminosarum
OTU6991	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfovibrionales	f__desulfovibrionaceae	g__desulfovibrio	s__desulfovibrio vulgaris	desulfovibrio vulgaris rch1
OTU6994	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus terrae	paenibacillus terrae hpl_003
OTU6995	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__rhodospirillum	s__rhodospirillum rubrum	rhodospirillum rubrum f11
OTU6996	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU6997	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__azospirillum	s__azospirillum brasilense	azospirillum brasilense
OTU6998	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__burkholderiales	g__rubrivivax	s__rubrivivax benzoatilyticus	rubrivivax benzoatilyticus ja2
OTU6999	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter sp.	geobacter sp. m18
OTU7000	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__rhodocyclales	f__rhodocyclaceae	g__azoarcus	s__azoarcus sp.	azoarcus sp. kh32c
OTU7001	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium sp.	bradyrhizobium sp. irbg 230
OTU7002	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__azospirillum	s__azospirillum brasilense	azospirillum brasilense
OTU7003	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter sp.	geobacter sp. m18
OTU7004	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__pelobacteraceae	g__pelobacter	s__pelobacter propionicus	pelobacter propionicus dsm 2379
OTU7005	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU7006	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter uraniireducens	geobacter uraniireducens rf4
OTU7008	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU7009	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter uraniireducens	geobacter uraniireducens rf4
OTU7010	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__rhizobium	s__rhizobium leguminosarum	rhizobium leguminosarum
OTU7011	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus polymyxa	paenibacillus polymyxa
OTU7012	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter sp.	geobacter sp. m18
OTU7013	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter bemidjiensis	geobacter bemidjiensis bem
OTU7014	k__bacteria	p__proteobacteria	c__gammaproteobacteria	o__pseudomonadales	f__pseudomonadaceae	g__azotobacter	s__azotobacter vinelandii	azotobacter vinelandii ca
OTU7015	k__bacteria	p__proteobacteria	c__gammaproteobacteria	o__pseudomonadales	f__pseudomonadaceae	g__azotobacter	s__azotobacter vinelandii	azotobacter vinelandii ca
OTU7016	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__rhizobium	s__rhizobium leguminosarum	rhizobium leguminosarum
OTU7017	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__rhizobium	s__rhizobium leguminosarum	rhizobium leguminosarum
OTU7018	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium japonicum	bradyrhizobium japonicum
OTU7019	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__burkholderiales	g__ideonella	s__ideonella dechloratans	ideonella dechloratans
OTU7020	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__rhizobium	s__rhizobium leguminosarum	rhizobium leguminosarum
OTU7021	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__azospirillum	s__azospirillum brasilense	azospirillum brasilense
OTU7022	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus fujiensis	paenibacillus fujiensis
OTU7023	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU7024	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__bradyrhizobiaceae	g__bradyrhizobium	s__bradyrhizobium sp.	bradyrhizobium sp. irbg 230
OTU7025	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__rhodocyclales	f__rhodocyclaceae	g__dechloromonas	s__dechloromonas sp.	dechloromonas sp. siul
OTU7026	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus abekawaensis	paenibacillus abekawaensis
OTU7027	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus sabinae	paenibacillus sabinae
OTU7028	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__rhizobium	s__rhizobium leguminosarum	rhizobium leguminosarum
OTU7029	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU7030	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__skermanella	s__skermanella aerolata	skermanella aerolata
OTU7031	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhodospirillales	f__rhodospirillaceae	g__skermanella	s__skermanella aerolata	skermanella aerolata
OTU7032	k__bacteria	p__proteobacteria	c__betaproteobacteria	o__burkholderiales	f__burkholderiales	g__rubrivivax	s__rubrivivax gelatinosus	rubrivivax gelatinosus il144
OTU7033	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__rhizobium	s__rhizobium leguminosarum	rhizobium leguminosarum
OTU7035	k__bacteria	p__proteobacteria	c__alphaproteobacteria	o__rhizobiales	f__rhizobiaceae	g__rhizobium	s__rhizobium leguminosarum	rhizobium leguminosarum
OTU7036	k__bacteria	p__proteobacteria	c__deltaproteobacteria	o__desulfuromonadales	f__geobacteraceae	g__geobacter	s__geobacter spp.	uncultured geobacter sp.
OTU7037	k__bacteria	p__firmicutes	c__bacilli	o__bacillales	f__paenibacillaceae	g__paenibacillus	s__paenibacillus sp.	paenibacillus sp. as2(2010)
